headword,pos,supplement,topic_tag,entry,meaning,meaning_en,meaning_ja,ipa,word_id,example_sentence,translated_sentence,sentence_id
double,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,double,"(数量・強さ・重さ・価値などが)2倍の,倍の  / 二重の,二様の;複の,対の,2人用の  / 表裏のある,二心ある  / (意味が)二様にとれる,あいまいな  / (花が)八重の,重弁の",,"(数量・強さ・重さ・価値などが)2倍の,倍の  / 二重の,二様の;複の,対の,2人用の  / 表裏のある,二心ある  / (意味が)二様にとれる,あいまいな  / (花が)八重の,重弁の",/ˈdʌbəl/,12716,He paid double fare.,彼は二倍の運賃を払った。,27226
doubt,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,doubt,"〈U〉疑い,疑惑",,"〈U〉疑い,疑惑",/daʊt/,12761,I have a doubt about the answer.,私は答えについて疑問を抱いています。,2997827
down,preposition,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,down,...を下がって / …に沿って,,...を下がって / …に沿って,/daʊn/,9703468,Tears ran down her face.,彼女の顔を涙が伝いました。,3010992
download,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,download,"〈他〉をダウンロードする,取り込む",,"〈他〉をダウンロードする,取り込む",/ˈdaʊnloʊd/,48368,You can download the file from the website.,ウェブサイトからファイルをダウンロードすることができます。,3007023
downstairs,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,downstairs,"階下へ(に),下の階へ(で),(特に)1階へ(で)",,"階下へ(に),下の階へ(で),(特に)1階へ(で)",/ˈdaʊnˌstɛrz/,9702573,He came downstairs.,彼は階下におりてきた。,34628
downtown,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,downtown,"(都市の中心の)商業地区へ(で),町の中心街へ(で)  / 商業地区の(にある),町の中心街の(にある)  / (市の中心街をなす)商業地区,下町",,"(都市の中心の)商業地区へ(で),町の中心街へ(で)  / 商業地区の(にある),町の中心街の(にある)  / (市の中心街をなす)商業地区,下町",/ˈdaʊntaʊn/,12816,I love exploring downtown areas.,私は都市の中心地を探検するのが好きです。,2997847
draw,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,draw,"引き分け,無勝負",,"引き分け,無勝負",/drɔː/,9703471,The match ended in a draw.,試合は引き分けに終わった。,61497
drawer,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: House and home, environment",,drawer,〈C〉引き出し / 引っ張る人,,〈C〉引き出し / 引っ張る人,/ˈdrɔːr/,12899,I found a key in the drawer.,私は引き出しの中で鍵を見つけました。,2997865
drawing,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: Free time, entertainment",,drawing,"〈U〉『線で描くこと』,線描 / 〈C〉(鉛筆・ペン・クレヨンなどによる)『絵』,『スケッチ』,デザイン,製図 / 〈U〉線画(デッサン)の技法 / 〈C〉くじ引き,抽選",,"〈U〉『線で描くこと』,線描 / 〈C〉(鉛筆・ペン・クレヨンなどによる)『絵』,『スケッチ』,デザイン,製図 / 〈U〉線画(デッサン)の技法 / 〈C〉くじ引き,抽選",/ˈdrɔɪŋ/,12900,I enjoy drawing in my free time.,暇な時間に絵を描くのが楽しいです。,1641554
dream,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,dream,"夢を見る  / (…を)夢想する,思い描く《+of(about)+名(doing)》  / …‘を'夢に見る,《a+形容詞+dreamを目的語にして》〈…の夢〉‘を'見る  / 《dream+that節》…‘と'思う,想像する  / 〈時〉‘を'うかうかと過ごす《+away+名》",,"夢を見る  / (…を)夢想する,思い描く《+of(about)+名(doing)》  / …‘を'夢に見る,《a+形容詞+dreamを目的語にして》〈…の夢〉‘を'見る  / 《dream+that節》…‘と'思う,想像する  / 〈時〉‘を'うかうかと過ごす《+away+名》",/driːm/,9703472,She dreamed a strange dream.,彼女は奇妙な夢を見た。,16404
dress,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,dress,"〈他〉に服を着せる / ...を飾り付ける / 〈髪〉を整える / 〈自〉服を着る / (市場用・食卓用に)〈肉・鳥〉‘を'整える,下ごしらえする(prepare)  / (ドレッシングなどをかけて)〈サラダ〉‘を'仕上げる",,"〈他〉に服を着せる / ...を飾り付ける / 〈髪〉を整える / 〈自〉服を着る / (市場用・食卓用に)〈肉・鳥〉‘を'整える,下ごしらえする(prepare)  / (ドレッシングなどをかけて)〈サラダ〉‘を'仕上げる",/drɛs/,9703473,The guests were dressed in full-dress for the wedding.,結婚式にはゲストたちが正装で着飾っていました。,1631926
dressed,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,dressed,着飾った / 装飾された,,着飾った / 装飾された,/drɛst/,9704103,The guests were dressed in full-dress for the wedding.,結婚式にはゲストたちが正装で着飾っていました。,1631926
drill,noun,"CoreInventory_1: Objects and rooms

CoreInventory 2: 

Threshold: Education",,drill,"〈C〉きり,ドリル / 〈U〉〈C〉反復練習 / (事態に処するための)訓練 /",,"〈C〉きり,ドリル / 〈U〉〈C〉反復練習 / (事態に処するための)訓練 /",/drɪl/,12969,I need to buy a new drill for my home improvement project.,私は家の改修プロジェクトのために新しいドリルを買う必要があります。,2997894
drive,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,drive,"（自動車などの）運転  / 原動力, 駆動装置 / 意欲, やる気 / 《心理学》 衝動, 動因",,"（自動車などの）運転  / 原動力, 駆動装置 / 意欲, やる気 / 《心理学》 衝動, 動因",/draɪv/,9714696,I love going for a drive in the countryside.,私は田舎でドライブするのが大好きです。,6535361
driver's license/driving licence,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: Travel",,driver's license,運転免許証(driving license),,運転免許証(driving license),/ˈdraɪvərz ˈlaɪsəns/,12989,I need to renew my driver's license.,私は運転免許証を更新する必要があります。,2997897
drop,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,drop,"《...の》 しずく 《of ...》 / 〈C〉(液体・事物の)少量,微量《+**of**+**名**》",,"《...の》 しずく 《of ...》 / 〈C〉(液体・事物の)少量,微量《+**of**+**名**》",/dɹɑp/,9703475,I accidentally let the drop of water fall on the document.,私はうっかり文書の上に水滴を落としてしまいました。,3010996
drug,noun,"CoreInventory_1: Travel and services vocab

CoreInventory 2: 

Threshold: Shopping",,drug,"〈C〉薬, 薬品 / 麻薬",,"〈C〉薬, 薬品 / 麻薬",/drʌɡ/,13030,He takes a drug to manage his chronic pain.,彼は慢性の痛みを管理するために薬を服用しています。,2997902
drugstore,noun,"CoreInventory_1: Things in the town, shops and shopping

CoreInventory 2: 

Threshold: Shopping",,drugstore,"薬局, ドラッグストア",,"薬局, ドラッグストア",/'drʌɡstɔːr/,13034,I need to go to the drugstore to buy some medicine.,薬を買うためにドラッグストアに行かなければなりません。,2997905
dry,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,dry,"…を乾かす《up》 / 《手ぬぐい・ハンカチなどで》〈手・足など〉をぬぐう,をふく《with, on ...》 / (保存のために)〈食物〉を乾燥させる / 乾く,〈水が〉かれる《up, out》",,"…を乾かす《up》 / 《手ぬぐい・ハンカチなどで》〈手・足など〉をぬぐう,をふく《with, on ...》 / (保存のために)〈食物〉を乾燥させる / 乾く,〈水が〉かれる《up, out》",/ draɪ /,3208160,The towels were all dried up after a day in the sun.,タオルは日差しの中で一日を過ごした後、すっかり乾いていた。,1625226
duck,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,duck,"〈C〉『アヒル』,『カモ』 / 〈C〉雌のカモ,雌のアヒル / 〈U〉(食用にする)カモ,アヒルの肉 / 〈C〉《おもに英話》かわいい人",,"〈C〉『アヒル』,『カモ』 / 〈C〉雌のカモ,雌のアヒル / 〈U〉(食用にする)カモ,アヒルの肉 / 〈C〉《おもに英話》かわいい人",/dʌk/,13089,I saw a duck swimming in the pond.,私は池で泳いでいるアヒルを見ました。,2997910
during,preposition,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,during,"(ある期間)の間ずっと,…の間じゅう  / (しばらく続く時間・期間)の間[のある間]に,…中に",,"(ある期間)の間ずっと,…の間じゅう  / (しばらく続く時間・期間)の間[のある間]に,…中に",/djʊərɪŋ/,13186,I studied hard during the summer vacation.,夏休みの間ずっと一生懸命勉強しました。,2997937
dust,noun,"CoreInventory_1: Objects and rooms

CoreInventory 2: 

Threshold: ",,dust,"〈U〉ちり,ほこり  / 《a ~》土煙,砂ぼこり  / 〈U〉粉末,粉  / 《the ~》《文》遺骨,なきがら  / 〈U〉(死後の)土  / 〈U〉屈辱,恥  / 〈U〉つまらぬもの",,"〈U〉ちり,ほこり  / 《a ~》土煙,砂ぼこり  / 〈U〉粉末,粉  / 《the ~》《文》遺骨,なきがら  / 〈U〉(死後の)土  / 〈U〉屈辱,恥  / 〈U〉つまらぬもの",/dʌst/,13192,I need to clean the dust off the shelves.,棚の上のちりを掃除しなければならない。,2997940
early,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,early,"(時間・時期が)早い,初期の  / 昔の  / (普通より,予定より)早い  / 近い将来の",,"(時間・時期が)早い,初期の  / 昔の  / (普通より,予定より)早い  / 近い将来の",/ˈɜːrli/,9704105,You are early.,早かったね。,55021
earn,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,earn,"〈他〉(働いて)〈金など〉をかせぐ / (努力して)〈信用・名声など〉を得る /  (貯金などが)〈利益〉を生じる,を生む",,"〈他〉(働いて)〈金など〉をかせぐ / (努力して)〈信用・名声など〉を得る /  (貯金などが)〈利益〉を生じる,を生む",/ɜːrn/,13299,She works hard to earn a living.,彼女は生計を立てるために一生懸命働いています。,2997974
earring,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: Shopping",,earring,"イヤリング,耳飾り",,"イヤリング,耳飾り",/ˈɪrɪŋ/,13307,She wore a beautiful earring to the party.,彼女はパーティーに美しいイヤリングをつけていました。,2997978
earth,noun,"CoreInventory_1: Nationalities and countries

CoreInventory 2: 

Threshold: Places",,earth,"《the》地球  / 〈U〉(天,空に対して)地,地面  / 〈U〉土([[soil]])  / 《the~》世界;全世界の人々  / 〈C〉土類(金属酸化物)  / 〈C〉《英》アース,接地線  / 〈C〉《おもに英》(キツネなどの)穴",,"《the》地球  / 〈U〉(天,空に対して)地,地面  / 〈U〉土([[soil]])  / 《the~》世界;全世界の人々  / 〈C〉土類(金属酸化物)  / 〈C〉《英》アース,接地線  / 〈C〉《おもに英》(キツネなどの)穴",/ɜrθ/,13310,The earth is the third planet from the sun.,地球は太陽から3番目の惑星です。,2997979
earthquake,noun,"CoreInventory_1: News, lifestyles and current affairs

CoreInventory 2: 

Threshold: Weather",,earthquake,地震,,地震,/ˈɜrθkweɪk/,13319,The earthquake shook the entire city.,地震が街全体を揺らした。,2997982
easily,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,easily,簡単に/容易に/易々と,,簡単に/容易に/易々と,/ˈiːzɪli/,13330,She easily solved the math problem.,彼女は簡単に数学の問題を解決した。,2997986
east,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,east,"東の,東方の,東部の;東からの",,"東の,東方の,東部の;東からの",/i:st/,13331,I live in the east side of the city.,私は市の東側に住んでいます。,2997990
east,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,east,"東に,東方へ",,"東に,東方へ",/i:st/,9704107,The wind is blowing east.,風は東に吹いています。,9910
east,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,east,"《the~》東;(…の)東方,(…の)東部《+of+名》  / 《the East》東洋(the Orient)  / 《the East》《米》東部地方",,"《the~》東;(…の)東方,(…の)東部《+of+名》  / 《the East》東洋(the Orient)  / 《the East》《米》東部地方",/i:st/,9704106,Nagoya is to the east of Kyoto.,名古屋は京都の東の方にある。,6748
editor,noun,"CoreInventory_1: Work and jobs

CoreInventory 2: 

Threshold: Personal identification",,editor,"(出版物・映画などの)編集者;(新聞などの)主筆,主幹;(雑誌などの)編集長  / (新聞・雑誌などの各部門の)部長",,"(出版物・映画などの)編集者;(新聞などの)主筆,主幹;(雑誌などの)編集長  / (新聞・雑誌などの各部門の)部長",/ˈɛdɪtər/,13439,The editor made several changes to the manuscript before it was published.,出版される前に、編集者は原稿にいくつかの変更を加えました。,2998019
education,noun,"CoreInventory_1: Education

CoreInventory 2: 

Threshold: Education",,education,"(一般に)教育  / (身につけた)教育,教養,知識  / 教育学,教授法",,"(一般に)教育  / (身につけた)教育,教養,知識  / 教育学,教授法",/ˌɛdʒəˈkeɪʃən/,13451,Education is the key to success.,教育は成功の鍵です。,2998026
educational,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,educational,"教育の,教育に関する  / 教育的な,教育のための",,"教育の,教育に関する  / 教育的な,教育のための",/ˌɛdʒəˈkeɪʃənəl/,13452,Educational institutions play a crucial role in shaping the future of our society.,教育機関は、社会の未来を形作る上で重要な役割を果たしています。,2998029
effect,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,effect,"〈C〉〈U〉結果  / 〈C〉〈U〉(…への)効果,効きめ,影響《+on(upon)+名》  / 〈C〉(色・音・形などの)印象,感銘  / 《複数形で》品物;身の回り品;動産,財産",,"〈C〉〈U〉結果  / 〈C〉〈U〉(…への)効果,効きめ,影響《+on(upon)+名》  / 〈C〉(色・音・形などの)印象,感銘  / 《複数形で》品物;身の回り品;動産,財産",/ɪˈfɛkt/,13466,The medication had a positive effect on her health.,その薬は彼女の健康に良い結果をもたらしました。,2998032
effort,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,effort,"〈U〉〈C〉《しばしば複数形で》努力,骨折り  / 〈C〉努力の成果,労作",,"〈U〉〈C〉《しばしば複数形で》努力,骨折り  / 〈C〉努力の成果,労作",/ˈɛfərt/,13489,She put a lot of effort into her studies.,彼女は勉強に多くの努力を注いだ。,2998033
either,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,either,"《疑問文・条件文で》いずれか一方の, どちらかの / 《肯定文で》どちらでも / 《否定文で》どちらの…も(…ない)",,"《疑問文・条件文で》いずれか一方の, どちらかの / 《肯定文で》どちらでも / 《否定文で》どちらの…も(…ない)",/ˈiːðər/,9714697,Is the cake either sweet or sour?,ケーキは甘いですか、それとも酸っぱいですか？,6535366
elderly,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,elderly,"年配の,初老の / 《the ~》年配の人たち",,"年配の,初老の / 《the ~》年配の人たち",/ˈɛldərli/,13592,The elderly couple enjoys taking walks in the park every morning.,年配の夫婦は毎朝公園で散歩を楽しんでいます。,2998060
electric,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,electric,"《名詞の前にのみ用いて》電気の;電気が引き起こす  / 《名詞の前にのみ用いて》電気で動く,電動の;電気を起こす,発電の  / 興奮させる,はらはら(ぞくぞく)させる",,"《名詞の前にのみ用いて》電気の;電気が引き起こす  / 《名詞の前にのみ用いて》電気で動く,電動の;電気を起こす,発電の  / 興奮させる,はらはら(ぞくぞく)させる",/ɪˈlɛktrɪk/,13607,I need to charge my electric car.,私は電気自動車を充電する必要があります。,2998059
elephant,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,elephant,ゾウ  / (共和党の象徴としての)象,,ゾウ  / (共和党の象徴としての)象,/ˈɛlɪfənt/,13678,The elephant is the largest land animal.,ゾウは最大の陸上動物です。,2998072
elevator,noun,"CoreInventory_1: Things in the town, shops and shopping

CoreInventory 2: 

Threshold: House and home, environment",,elevator,"《米》エレベーター,昇降機(《英》lift)  / (揚げ下ろしの設備のある)穀物倉庫  / (飛行機の)昇降舵(だ)",,"《米》エレベーター,昇降機(《英》lift)  / (揚げ下ろしの設備のある)穀物倉庫  / (飛行機の)昇降舵(だ)",/ˈɛlɪveɪtər/,13687,The elevator is out of order.,エレベーターが故障しています。,2998074
elsewhere,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,elsewhere,"どこかよそに,ほかの所で(somewhere else)",,"どこかよそに,ほかの所で(somewhere else)",/ˈɛls.wɛər/,13732,I want to go elsewhere for my vacation.,私は休暇にどこか他の場所に行きたいです。,2998086
e-mail,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,e-mail,〈人･団体〉に電子メールを送る / 電子メールで送る,,〈人･団体〉に電子メールを送る / 電子メールで送る,/ˈiːmeɪl/,3207922,I need to e-mail my boss about the project.,私はプロジェクトについて上司に電子メールを送る必要がある。,1623056
embarrassing,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,embarrassing,"(人を)まごつかせる,困惑させる,きまり悪がらせる",,"(人を)まごつかせる,困惑させる,きまり悪がらせる",/ɪmˈbærəsɪŋ/,13761,It was embarrassing when I tripped and fell in front of everyone.,みんなの前でつまずいて転んだ時は恥ずかしかったです。,2998094
emergency,noun,"CoreInventory_1: News, lifestyles and current affairs

CoreInventory 2: 

Threshold: ",,emergency,"非常の場合,緊急の場合",,"非常の場合,緊急の場合",/ɪˈmɜːrdʒənsi/,13806,"In case of an emergency, please dial 911.",緊急の場合は911におかけください。,2998097
empty,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,empty,"からの,中に何もない(だれも居ない)  / 空虚な,なんの意味もない  / 《話》腹ぺこの  / 〈容器など〉‘を'空にする  / (容器などから)〈中身〉‘を'出して空にする《+名+out of+名》;(…に)〈中身〉‘を'全部出す《+名+into(onto)+名》  / 空になる;(…に)全部出て空になる《+into+名》  / 空き箱,空きびん",,"からの,中に何もない(だれも居ない)  / 空虚な,なんの意味もない  / 《話》腹ぺこの  / 〈容器など〉‘を'空にする  / (容器などから)〈中身〉‘を'出して空にする《+名+out of+名》;(…に)〈中身〉‘を'全部出す《+名+into(onto)+名》  / 空になる;(…に)全部出て空になる《+into+名》  / 空き箱,空きびん",/ˈɛmpti/,13870,I received a gift from him.,彼からプレゼントをもらいました。,2998124
encourage,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,encourage,勇気づける； 励ます； 奨励する,,勇気づける； 励ます； 奨励する,/ɪnˈkʌrɪdʒ/,13927,I encourage you to pursue your dreams.,私はあなたに夢を追求するように勧めます。,2998135
end,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,end,〈他〉を終わらせる / 〈自〉終わる,,〈他〉を終わらせる / 〈自〉終わる,/ɛnd/,9703597,The game ended in fulltime.,試合は時間切れで終了しました。,1640019
endangered,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,endangered,危険にさらされた / (動・植物が)絶滅寸前の,,危険にさらされた / (動・植物が)絶滅寸前の,/ɪnˈdeɪndʒərd/,13952,The conservation efforts are crucial to protect endangered species.,絶滅の危機に瀕した種を保護するために保全活動は重要です。,2998141
ending,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,ending,"終り,終了;(物語・映画などの)結末 / (文の)語尾",,"終り,終了;(物語・映画などの)結末 / (文の)語尾",/ˈɛndɪŋ/,13961,The movie has a surprising ending.,その映画は驚きの終りを迎える。,2998138
energetic,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,energetic,"精力的な,元気旺盛な",,"精力的な,元気旺盛な",/ˌɛnərˈdʒɛtɪk/,13989,She is always full of energy and enthusiasm.,彼女はいつもエネルギーと熱意に満ちています。,2998147
enormous,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,enormous,"巨大な, ばく大な",,"巨大な, ばく大な",/ɪˈnɔːr.məs/,14067,The elephant is enormous.,その象は巨大です。,2998172
enough,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,enough,十分に / すっかり,,十分に / すっかり,/ɪˈnʌf/,14068,Is it large enough?,その大きさで十分ですか。,120097
enough,determiner,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,enough,"不足のない, 十分な /《間投詞的に》もうたくさんだ, やめてくれ",,"不足のない, 十分な /《間投詞的に》もうたくさんだ, やめてくれ",/ɪˈnʌf/,9704109,There is enough light to read by.,読書には十分な明るさがある。,9701
enough,pronoun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,enough,"十分な量, 足りる量 /",,"十分な量, 足りる量 /",/ɪˈnʌf/,9704110,I have enough of this job.,私はこの仕事にうんざりしています。,1638893
enter,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,enter,"…に入る  / …に入り込む([[penetrate]])  / …の一員となる,に参加する  / 《…に》〈人〉を入学させる, 《...に》...を参加させる《in, fof ...》  / 《…に》…を記入する《in, into, on ...》  / 〈新しい生活・局面など〉に入る  / 〈異議など〉を正式に申し出る  / 入る  / 登場する",,"…に入る  / …に入り込む([[penetrate]])  / …の一員となる,に参加する  / 《…に》〈人〉を入学させる, 《...に》...を参加させる《in, fof ...》  / 《…に》…を記入する《in, into, on ...》  / 〈新しい生活・局面など〉に入る  / 〈異議など〉を正式に申し出る  / 入る  / 登場する",/ˈɛntər/,14100,I enter the room.,私は部屋に入る。,2998177
entertainment,noun,"CoreInventory_1: Hobbies and pastimes

CoreInventory 2: 

Threshold: Free time, entertainment",,entertainment,"〈U〉娯楽,気晴らし,楽しみ  / 〈C〉催し物,余興,演芸  / 〈U〉客呼び,もてなし,歓待",,"〈U〉娯楽,気晴らし,楽しみ  / 〈C〉催し物,余興,演芸  / 〈U〉客呼び,もてなし,歓待",/ɪn.tərˈteɪn.mənt/,14107,I enjoy going to the theater for entertainment.,私は娯楽のために劇場に行くのが好きです。,2998186
entrance,noun,"CoreInventory_1: Objects and rooms

CoreInventory 2: 

Threshold: House and home, environment",,entrance,"〈C〉《建物・場所などへの》 入り口 《to ...》 / 〈U〉〈C〉《...へ》入ること,入場《to, into, on ...》 /  〈U〉《新しい生活・職務などに》つくこと《on, upon,into ...》 / 《...へ》入る権利（資格）《to, into ...》 /",,"〈C〉《建物・場所などへの》 入り口 《to ...》 / 〈U〉〈C〉《...へ》入ること,入場《to, into, on ...》 /  〈U〉《新しい生活・職務などに》つくこと《on, upon,into ...》 / 《...へ》入る権利（資格）《to, into ...》 /",/ˈɛntrəns/,14136,"I stood at the entrance of the building, waiting for my friends.",私は友達を待っている間、建物の入り口に立っていました。,2998197
envelope,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,envelope,封筒  / 包むもの,,封筒  / 包むもの,/ˈɛnvəˌloʊp/,14163,I put the letter in the envelope.,私は手紙を封筒に入れました。,2998201
envy,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: Relations with other people",,envy,"〈U〉(…に対する)『ねたみ』,羨望(せんぼう)《+『of』(『at』)+『名』》 / 〈C〉(…の)『羨望の的』,うらやましい物(人,事)《+『of』+『名』》",,"〈U〉(…に対する)『ねたみ』,羨望(せんぼう)《+『of』(『at』)+『名』》 / 〈C〉(…の)『羨望の的』,うらやましい物(人,事)《+『of』+『名』》",/ˈɛnvi/,14179,She couldn't help but feel envy towards her successful friend.,彼女は成功した友人に対してねたみを感じずにはいられなかった。,2998206
episode,noun,"CoreInventory_1: Books and literature

CoreInventory 2: 

Threshold: Free time, entertainment",,episode,挿話的なでき事(人生の特殊な経験など)  / (小説・劇などの中の本筋と直接関係のない)挿話的な事件,,挿話的なでき事(人生の特殊な経験など)  / (小説・劇などの中の本筋と直接関係のない)挿話的な事件,/ˈɛpɪˌsoʊd/,14219,The camping trip was definitely an episode to remember.,キャンプ旅行は間違いなく忘れられないエピソードとなった。,2998215
error,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,error,"〈C〉誤り,まちがい  / 〈U〉思い違い,誤解  / 〈U〉〈C〉過ち,過失  / 〈U〉(計数の)誤差  / 〈C〉(野球で)エラー,失策",,"〈C〉誤り,まちがい  / 〈U〉思い違い,誤解  / 〈U〉〈C〉過ち,過失  / 〈U〉(計数の)誤差  / 〈C〉(野球で)エラー,失策",/ˈɛrər/,14323,There was an error in the code.,コードに誤りがありました。,2998237
escalator,noun,"CoreInventory_1: Things in the town, shops and shopping

CoreInventory 2: 

Threshold: House and home, environment",,escalator,エスカレーター[もと商標名],,エスカレーター[もと商標名],/ˈɛskəleɪtər/,14341,I took the escalator to the second floor.,私はエスカレーターで2階に行きました。,2998244
escape,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,escape,"《Aから》逃げ出すこと,脱走；《Aを》免れること《from, out of A》【名/C】《Aから》逃げる手段,逃げ道《from, out of A》；《Aからの》《Bの》漏れ《of B from(out of) A》",,"《Aから》逃げ出すこと,脱走；《Aを》免れること《from, out of A》【名/C】《Aから》逃げる手段,逃げ道《from, out of A》；《Aからの》《Bの》漏れ《of B from(out of) A》",/ɪˈskeɪp/,9702590,"The boy attempted an escape, but failed.",少年は逃げようとしたが失敗した。,120979
especially,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,especially,"特に / きわだって,著しく / いつもより",,"特に / きわだって,著しく / いつもより",/ɪˈspɛʃəli/,14375,"I love all kinds of music, especially classical music.",私はあらゆる種類の音楽が大好きですが、特にクラシック音楽が好きです。,2998251
essay,noun,"CoreInventory_1: Education

CoreInventory 2: Books and literature

Threshold: Education",,essay,"(ある論題・問題に関する)小論,評論;随筆,エッセイ《+on(upon)+名》  / 《文》試み[ること],企て(attempt)  / …‘を'試みる;…しようとする《+to do》",,"(ある論題・問題に関する)小論,評論;随筆,エッセイ《+on(upon)+名》  / 《文》試み[ること],企て(attempt)  / …‘を'試みる;…しようとする《+to do》",/ˈɛseɪ/,14388,I need to write an essay on the topic of climate change.,私は気候変動のトピックについての小論を書かなければなりません。,2998253
establish,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,establish,を設立する / を安定させる / を制定する / を確立する / を証明する,,を設立する / を安定させる / を制定する / を確立する / を証明する,/ɪˈstæblɪʃ/,14397,They establish a new company.,彼らは新しい会社を設立する。,2998254
euro,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,euro,ユーロ；ユーロ債,,ユーロ；ユーロ債,/ˈjʊərəʊ/,48355,The euro is the official currency of the European Union.,ユーロは欧州連合の公式通貨です。,3007019
even,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,even,"でさえ,でも；（比較級を強調して）さらに,ずっと",,"でさえ,でも；（比較級を強調して）さらに,ずっと",/ˈiːvən/,9702594,I can't believe he [[didn't even|not even]] apologize.,彼が謝罪さえしなかったことが信じられない。,3007200
ever,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,ever,"《疑問文・否定文,また比較級・最上級の文で》かつて, 今まで / 《条件節,未来時制で》いつか,いずれ / 《疑問詞を強調して》《話》いったいぜんたい / 《肯定文に用いて》いつも,常に",,"《疑問文・否定文,また比較級・最上級の文で》かつて, 今まで / 《条件節,未来時制で》いつか,いずれ / 《疑問詞を強調して》《話》いったいぜんたい / 《肯定文に用いて》いつも,常に",/ˈɛvər/,14567,Have you ever been to Japan?,日本に行ったことがありますか？,2998295
evidence,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,evidence,"証拠,証拠物件  / 印,徴侯,形跡(indication)・(証拠をあげて)…‘を'証明する・「in evidence」で「証拠(証人)として」",,"証拠,証拠物件  / 印,徴侯,形跡(indication)・(証拠をあげて)…‘を'証明する・「in evidence」で「証拠(証人)として」",/ˈɛvɪdəns/,14586,There is no evidence to support his claim.,彼の主張を裏付ける証拠はありません。,2998294
